Year,State,Employment,AVG Price
2013,AR,874650,$92148.3362
2013,AZ,3236075,$165825.4399
2013,CA,20934796,$369550.6278
2013,CO,2908161,$232699.6808
2013,CT,2096490,$270297.2087
2013,DE,86585,$197717.4273
2013,FL,10261355,$176948.9587
2013,GA,4304306,$111193.7803
2013,HI,725490,$408766.3517
2013,IA,1003571,$114901.5856
2013,ID,638411,$165515.4858
2013,IL,1014027,$141301.5
2013,IN,2121943,$104341.6883
2013,KS,681855,$96260.6241
2013,KY,564036,$89990.7939
2013,LA,2309297,$126519.5026
2013,MA,609470,$322358.0215
2013,MD,1793344,$277405.5639
2013,ME,501911,$160633.9659
2013,MI,4486936,$109891.4528
2013,MN,345415,$155231.0119
2013,MO,600932,$118271.6338
2013,MS,670269,$98100.9022
2013,MT,242750,$187953.9846
2013,NC,3226983,$139313.1757
2013,ND,91075,$155101.878
2013,NE,270101,$119379.1149
2013,NH,254365,$208032.9263
2013,NJ,571335,$325336.6779
2013,NM,735415,$157590.7475
2013,NV,1427086,$190050.5222
2013,NY,3168784,$270488.7653
2013,OH,4210616,$118901.1703
2013,OK,1520313,$71163.536
2013,OR,737470,$200254.8789
2013,PA,3718036,$144350.0958
2013,SC,1796862,$121119.2245
2013,SD,274167,$142997.4326
2013,TN,1926240,$106230.8453
2013,TX,13901293,$144274.3715
2013,UT,1503716,$227181.8214
2013,VA,1468316,$196138.3792
2013,VT,157592,$200743.7308
2013,WA,3451779,$239710.2764
2013,WI,2464664,$152043.5798
2013,WV,347714,$95844.18
2013,WY,122234,$192866.5823
2014,AK,301222,$204968.026
2014,AL,2005818,$114336.7921
2014,AR,889610,$94235.8636
2014,AZ,3312776,$179997.5211
2014,CA,21605553,$416050.0854
2014,CO,3011029,$248564.9527
2014,CT,2114734,$278112.3289
2014,DE,87627,$209351.3181
2014,FL,10654685,$196747.7954
2014,GA,4460014,$117727.5312
2014,HI,737373,$465307.5589
2014,IA,1018385,$118759.3116
2014,ID,656291,$175677.2997
2014,IL,1019633,$148146.425
2014,IN,2161858,$108067.0003
2014,KS,690651,$99770.6717
2014,KY,572886,$92442.3313
2014,LA,2352373,$130362.8956
2014,MA,616036,$341102.7303
2014,MD,1814752,$290806.2775
2014,ME,507708,$166025.1447
2014,MI,4565245,$119755.6095
2014,MN,348270,$164144.1784
2014,MO,606883,$123380.672
2014,MS,679752,$101288.5972
2014,MT,245345,$196750.2546
2014,NC,3298417,$144321.6734
2014,ND,93393,$173989.2862
2014,NE,273599,$124501.4894
2014,NH,258584,$215824.9157
2014,NJ,575157,$344737.6905
2014,NM,741282,$165470.3084
2014,NV,1474986,$214839.3271
2014,NY,3188172,$285488.2528
2014,OH,4270069,$123655.8197
2014,OK,1543152,$74522.3269
2014,OR,761023,$213750.413
2014,PA,3748259,$147466.7353
2014,SC,1845452,$127356.1647
2014,SD,280498,$148359.1009
2014,TN,1986434,$111715.7719
2014,TX,14349099,$155156.746
2014,UT,1547246,$242356.7794
2014,VA,1490908,$200657.6114
2014,VT,159899,$204867.2239
2014,WA,3542175,$254592.4881
2014,WI,2499493,$159251.1857
2014,WV,346535,$98888.9805
2014,WY,124116,$199415.4575
2015,AK,303222,$215389.0027
2015,AL,2035262,$116172.0524
2015,AR,909455,$97741.9092
2015,AZ,3412271,$189877.3192
2015,CA,22290215,$449629.3397
2015,CO,3111492,$271772.2532
2015,CT,2136538,$283217.9449
2015,DE,88488,$220905.7963
2015,FL,11080564,$214435.9402
2015,GA,4604400,$124407.6219
2015,HI,752672,$485434.2385
2015,IA,1031503,$124006.3336
2015,ID,676134,$182609.6787
2015,IL,1027121,$150352.2201
2015,IN,2204065,$112917.9179
2015,KS,696867,$103018.649
2015,KY,585783,$94067.0426
2015,LA,2366239,$134589.3041
2015,MA,635744,$356467.1585
2015,MD,1848747,$298139.2347
2015,ME,514400,$170206.891
2015,MI,4650575,$126816.5128
2015,MN,354265,$170806.3726
2015,MO,615277,$128988.7775
2015,MS,686204,$110557.3442
2015,MT,249552,$206029.1666
2015,NC,3369052,$149586.0601
2015,ND,95082,$185804.8973
2015,NE,277890,$129968.8531
2015,NH,264868,$227230.3931
2015,NJ,575949,$354575.7576
2015,NM,748859,$168462.1521
2015,NV,1532276,$232680.2269
