Year,State,Population,AVG Price
2015,NV,2584505,$232680.2269
2015,NY,5648351,$294491.0967
2015,OH,7042138,$128918.6692
2015,OK,2539633,$78471.1868
2015,OR,1447823,$229342.9699
2015,PA,6381751,$148469.0774
2015,SC,3255312,$133174.5144
2015,SD,384629,$156592.72
2015,TN,3303927,$118777.1115
2015,TX,24264810,$166857.1826
2015,UT,2561064,$255820.0534
2015,VA,2455626,$204275.7328
2015,VT,219701,$210335.5548
2015,WA,5954023,$273426.0227
2015,WI,3852054,$165632.2609
2015,WV,626278,$101804.8624
2015,WY,179010,$213120.7064
2016,AK,503599,$214079.3236
2016,AL,3674898,$118836.8619
2016,AR,1561630,$101687.5991
2016,AZ,6464053,$200283.4139
2016,CA,38377800,$476540.3218
2016,CO,4830937,$290881.573
2016,CT,3305479,$287719.1245
2016,DE,173940,$228282.364
2016,FL,19858673,$237106.5482
2016,GA,7729339,$132228.8966
2016,HI,1187568,$504435.001
2016,IA,1504481,$122400.7416
2016,ID,1190057,$195387.6101
2016,IL,1798263,$146415.4375
2016,IN,3592111,$118892.5826
2016,KS,1129749,$82102.0973
2016,KY,945032,$88649.7489
2016,LA,3938558,$133718.6184
2016,MA,1055351,$375966.5567
2016,MD,2932924,$304828.0634
2016,ME,795618,$178570.6203
2016,MI,8164046,$132997.9221
2016,MN,514218,$177696.3365
2016,MO,993729,$129434.6778
2016,MS,1178418,$111467.9719
2016,MT,376459,$200174.7461
2016,NC,5857996,$155377.317
2016,ND,129785,$174746.6164
2016,NE,405988,$120855.9988
2016,NH,414107,$234487.121
2016,NJ,907839,$364914.3385
2016,NM,1397199,$165695.6487
2016,NV,2631624,$249028.3293
2016,NY,5647247,$315420.5451
2016,OH,7067697,$132585.7965
2016,OK,2562003,$79658.0058
2016,OR,1477946,$249763.7696
2016,PA,6388949,$155367.4602
2016,SC,3295236,$140527.4486
2016,SD,390878,$153324.1025
2016,TN,3354642,$128199.2467
2016,TX,24693090,$176231.5573
2016,UT,2619727,$275753.873
2016,VA,2475409,$207889.292
2016,VT,220494,$211761.4887
2016,WA,6069827,$294733.7481
2016,WI,3867365,$171881.6862
2016,WV,622700,$103957.8118
2016,WY,178710,$235466.3585
2017,AK,501868,$218050.6634
2017,AL,3700185,$120448.6121
2017,AR,1577417,$105414.9813
2017,AZ,6543279,$211450.1077
2017,CA,38572517,$508092.8582
2017,CO,4896380,$312805.3209
2017,CT,3305735,$294968.0414
2017,DE,175786,$238689.3733
2017,FL,20188853,$253299.8284
2017,GA,7830147,$138142.806
2017,HI,1186941,$534407.8724
2017,IA,1520895,$124537.7687
2017,ID,1219089,$212024.3344
2017,IL,1788349,$147373.67
2017,IN,3617996,$124886.58
2017,KS,1128244,$83431.5784
2017,KY,955688,$92531.1179
2017,LA,3938149,$131056.4456
2017,MA,1056133,$397237.1537
2017,MD,2942449,$314533.3317
2017,ME,800383,$188962.7302
2017,MI,8193821,$141466.9951
2017,MN,518752,$187151.529
2017,MO,1000777,$134456.0447
2017,MS,1181508,$109705.9751
2017,MT,379689,$208406.6972
2017,NC,5918564,$162003.6198
2017,ND,131140,$166717.0803
2017,NE,409784,$126113.1455
2017,NH,416477,$247525.7123
